"","finalStackSize","lowestStackSize"
"1",37485,29983
"2",35730,29800
"3",36925,28395
"4",39565,29815
"5",32975,26740
"6",32710,29142
"7",42060,30000
"8",34895,29231
"9",36725,29791
"10",33755,29787
"11",36985,29989
"12",42020,30000
"13",41000,29947
"14",35850,29800
"15",32750,28658
"16",35485,29387
"17",38195,28769
"18",36790,29148
"19",40990,29108
"20",33810,28663
"21",35500,29213
"22",34875,29961
"23",36720,29865
"24",23940,23278
"25",42210,29740
"26",36465,29182
"27",37845,29920
"28",33510,29965
"29",33220,27338
"30",24310,23955
"31",35190,29186
"32",33660,29734
"33",36385,29989
"34",33090,26841
"35",29340,24722
"36",37910,29989
"37",38420,29719
"38",27835,26242
"39",40700,29998
"40",33470,29396
"41",36420,29822
"42",42395,30000
"43",38440,29994
"44",39760,28879
"45",31180,27944
"46",31490,25350
"47",39265,30000
"48",41390,27587
"49",39425,29983
"50",36620,29561
"51",33815,28346
"52",16845,14307
"53",40735,29774
"54",36680,28980
"55",37865,29963
"56",34480,28413
"57",38000,29998
"58",41230,28903
"59",31035,26020
"60",36850,27109
"61",29515,28655
"62",41915,28956
"63",30315,28777
"64",39060,28531
"65",42110,29983
"66",33420,28381
"67",32685,27031
"68",37065,29832
"69",32405,27963
"70",31215,27552
"71",39780,29983
"72",36615,28408
"73",38485,27309
"74",31185,26475
"75",33065,28329
"76",32705,29988
"77",34755,27471
"78",43325,29980
"79",37985,28622
"80",42930,28941
"81",40185,29354
"82",34450,28761
"83",41860,29989
"84",43345,29988
"85",39875,29619
"86",37110,29259
"87",39520,29839
"88",39425,26746
"89",38615,28668
"90",39470,29983
"91",39135,29941
"92",34485,28776
"93",32440,29620
"94",36465,29983
"95",34050,29347
"96",34220,29593
"97",27910,26124
"98",35210,27202
"99",24650,23161
"100",35015,26488
"101",29335,27053
"102",40555,30000
"103",26805,26290
"104",33045,28029
"105",38865,30000
"106",37315,29370
"107",26000,25670
"108",37455,28529
"109",21495,16923
"110",30825,27560
"111",37860,29815
"112",43255,28427
"113",38190,29671
"114",37655,29154
"115",33255,26453
"116",36160,29309
"117",38010,29667
"118",37030,29516
"119",39255,28941
"120",29205,23819
"121",27930,27139
"122",37390,28460
"123",31775,29164
"124",40600,29631
"125",38065,30000
"126",34270,29994
"127",30655,25270
"128",35935,29440
"129",31270,27803
"130",35795,29706
"131",24210,23642
"132",37930,29935
"133",39330,29983
"134",34485,28623
"135",33805,28728
"136",37360,27299
"137",30940,29993
"138",35560,28154
"139",35955,28457
"140",28115,27656
"141",37450,24748
"142",24545,23442
"143",30930,25238
"144",36145,28844
"145",34975,29715
"146",37200,25712
"147",35860,27476
"148",36150,29994
"149",40910,28053
"150",43100,29579
"151",40990,28897
"152",36880,28714
"153",41505,29988
"154",40435,29420
"155",43880,29989
"156",32980,29845
"157",42385,30000
"158",38110,27650
"159",39050,29983
"160",33690,29897
"161",43210,28658
"162",39840,29837
"163",36755,29920
"164",34540,28080
"165",42875,29884
"166",35295,28856
"167",39395,29362
"168",36755,29319
"169",33625,28113
"170",40630,29458
"171",39385,29983
"172",32520,30000
"173",32395,25226
"174",22920,21529
"175",40365,28569
"176",34375,28357
"177",28275,22514
"178",37830,29994
"179",37555,29458
"180",39935,29983
"181",41445,29998
"182",38160,27577
"183",34815,29242
"184",39700,30000
"185",41145,29082
"186",35900,29805
"187",38355,28447
"188",43235,29666
"189",36970,28326
"190",39195,29471
"191",39210,29664
"192",33835,28207
"193",32295,27567
"194",34510,28007
"195",34465,28107
"196",41255,29053
"197",36370,28289
"198",32030,29687
"199",37720,28485
"200",44430,30000
"201",33595,29064
"202",34795,29153
"203",32870,28827
"204",30015,29437
"205",39480,28928
"206",31350,23882
"207",36195,29505
"208",30865,27081
"209",35650,29715
"210",35025,30000
"211",31580,28432
"212",31580,28322
"213",39125,29104
