"","finalStackSize","lowestStackSize"
"1",31533,9595
"2",23188,9920
"3",23653,9998
"4",24018,9693
"5",26823,9206
"6",25358,9494
"7",23803,9937
"8",25343,4593
"9",31848,9959
"10",27143,9418
"11",24413,9900
"12",24543,9722
"13",25373,9990
"14",18208,7776
"15",26778,9658
"16",27458,8974
"17",29063,9994
"18",37253,10000
"19",24723,9309
"20",32243,9944
"21",26098,9260
"22",29958,9891
"23",32173,9739
"24",30178,9876
"25",26838,9655
"26",28478,9983
"27",25598,9985
"28",27828,9801
"29",29098,9988
"30",25833,9901
"31",24423,9821
"32",18768,8245
"33",26343,9998
"34",34938,10000
"35",22663,9504
"36",25578,9490
"37",24863,9983
"38",30463,9675
"39",20168,9531
"40",30348,10000
"41",31413,9994
"42",28018,9994
"43",28023,9959
"44",26303,9990
"45",24773,8177
"46",31908,9763
"47",22258,8290
"48",30668,9989
"49",20978,9989
"50",31368,9591
"51",30113,8850
"52",30908,9983
"53",24353,9989
"54",32808,9983
"55",22708,9663
"56",24423,10000
"57",26933,10000
"58",33623,9942
"59",23403,9148
"60",28473,8331
"61",24903,9720
"62",30068,9656
"63",33358,9887
"64",22883,9971
"65",27123,9115
"66",22093,10000
"67",27773,8925
"68",24373,9241
"69",25148,9582
"70",31203,10000
"71",29783,9142
"72",24958,7401
"73",30553,9983
"74",19688,7408
"75",29013,8616
"76",25058,9910
"77",25933,9994
"78",25958,9907
"79",26898,9254
"80",29908,9065
"81",17323,9988
"82",30048,9061
"83",25538,9590
"84",33858,9735
"85",28758,10000
"86",18303,9921
"87",33933,9890
"88",31988,9983
"89",30758,9998
"90",24013,9983
"91",29203,8803
"92",22103,9994
"93",25958,9846
"94",27298,9735
"95",24693,9926
"96",28283,9654
"97",26898,9945
"98",27023,9346
"99",24913,9816
"100",23838,8820
"101",26458,9667
"102",25553,9341
"103",31158,9974
"104",26813,9651
"105",29263,9989
"106",27088,7706
"107",28148,8326
"108",31303,9988
"109",26658,8680
"110",23128,9915
"111",24088,10000
"112",24133,9586
"113",33123,9490
"114",28708,10000
"115",29453,9927
"116",29413,9860
"117",28303,9645
