"","finalStackSize","lowestStackSize"
"1",21800,14604
"2",18720,14811
"3",19640,14880
"4",20015,14733
"5",22650,14965
"6",8370,8075
"7",23640,14816
"8",21465,14975
"9",14820,13638
"10",20280,14826
"11",20220,14994
"12",20055,14983
"13",20015,13825
"14",20410,14950
"15",20315,14604
"16",17775,14887
"17",18375,14224
"18",16160,14831
"19",18795,14978
"20",25270,14654
"21",18430,14433
"22",16410,14715
"23",20835,13656
"24",21360,14920
"25",19185,14508
"26",17670,14645
"27",20830,15000
"28",23450,14983
"29",18300,14613
"30",21275,14347
"31",13805,13219
"32",23210,14575
"33",16700,14060
"34",20685,14908
"35",20780,14978
"36",21725,13854
"37",16170,13049
"38",21575,14994
"39",19845,14994
"40",15290,13650
"41",18290,14440
"42",23775,14983
"43",21055,14986
"44",21845,14992
"45",23345,14934
"46",19260,14711
"47",19225,14875
"48",17455,14983
"49",21465,15000
"50",20710,14601
"51",20970,14791
"52",14300,13390
"53",19450,14989
"54",18990,14842
"55",20775,13932
"56",18825,14619
"57",17750,14515
"58",21945,14744
"59",22530,14808
"60",21635,14994
"61",21430,14983
"62",19525,14339
"63",20935,14998
"64",20565,15000
"65",12565,9899
"66",21455,14983
"67",17955,14928
"68",22105,15000
"69",19725,14978
"70",16425,14845
"71",17395,14503
"72",21750,14885
"73",18870,14796
"74",18905,13684
"75",19270,14998
"76",20740,14989
"77",19210,14874
"78",16250,10840
"79",16765,13771
"80",13410,12447
"81",19760,14575
"82",22025,14998
"83",20085,14014
"84",20425,14989
"85",23630,14987
"86",16545,12433
"87",17935,14102
"88",18135,14160
"89",20485,15000
"90",22585,14749
"91",19370,14865
"92",22245,14920
"93",18805,14920
"94",23510,14985
"95",19780,14925
"96",23775,14985
"97",22585,14665
"98",25970,14836
"99",23210,14877
"100",17930,14646
"101",15510,14922
"102",20665,14890
"103",20875,14740
"104",16835,14150
"105",21135,14814
"106",20475,14960
"107",21945,14912
"108",21275,14979
"109",22115,14955
"110",18680,14990
"111",17475,14907
"112",16355,13889
"113",17430,14793
"114",22025,14983
"115",16930,13998
"116",18655,14965
"117",20095,14840
"118",20955,14093
"119",17625,14988
"120",21100,14961
"121",22340,14914
"122",20935,14894
"123",21435,14869
"124",17420,14446
"125",19700,14233
"126",18685,14994
"127",19485,14218
"128",16995,14259
"129",14245,13056
"130",23890,15000
"131",21665,14934
"132",21165,14983
"133",19685,14819
"134",21125,14985
"135",24060,13842
"136",20085,14898
"137",19940,15000
"138",20815,14802
"139",20210,14994
"140",20885,14900
"141",20725,14928
"142",22060,14980
"143",22680,14989
"144",20725,14433
"145",19435,14587
"146",18890,14825
"147",23835,13963
"148",18050,13975
"149",18525,14280
"150",20315,15000
"151",22160,14970
"152",20575,14485
"153",16530,14896
"154",20485,14732
"155",18840,14962
"156",21015,14584
"157",20395,14240
"158",22035,14983
"159",21120,14382
"160",18275,14800
"161",21890,14978
"162",21085,14980
"163",21475,13933
"164",20195,14716
"165",21530,14769
"166",18315,12701
"167",19655,14983
"168",21075,14978
"169",15710,14167
"170",19415,14867
"171",22380,15000
"172",17600,14615
"173",20130,14910
"174",18555,14575
"175",23125,14790
"176",22275,14974
"177",16785,13555
"178",19975,14857
"179",19975,14934
"180",19160,14196
"181",20630,14920
"182",19340,14796
"183",20745,14988
"184",17270,13040
"185",16445,13885
"186",19410,14866
"187",18745,14774
"188",18390,14944
"189",10735,9065
"190",18970,14435
"191",18085,14218
"192",18090,14050
"193",17335,14268
"194",20270,14530
"195",18170,14735
"196",19145,14927
"197",21740,14358
"198",18470,14832
"199",18010,14678
"200",18245,14983
"201",22880,14894
"202",21725,14873
"203",20860,14950
"204",21705,15000
"205",18080,14358
"206",19050,14992
"207",23890,14735
"208",21990,14988
"209",19955,14170
"210",21755,14994
"211",18835,13898
"212",21825,14971
"213",21275,14813
"214",16310,10031
"215",18530,13690
"216",19610,14779
"217",20700,14582
"218",19460,14957
"219",19170,14332
"220",17260,13728
"221",23320,14976
"222",20045,14740
"223",21650,14910
"224",19840,14847
"225",16540,14273
"226",22535,14786
"227",18340,14414
"228",17380,14138
"229",19420,14929
"230",23660,14994
"231",19770,14390
"232",15205,8367
"233",18615,14977
"234",20485,14790
"235",21775,14988
"236",19510,13945
"237",20280,14989
"238",19030,14511
"239",21760,14549
"240",23050,15000
"241",20240,14856
"242",18175,13901
"243",16950,14699
"244",20960,14983
"245",19625,14895
"246",20705,14074
"247",19775,14983
"248",16110,14925
"249",16500,14323
"250",18785,14155
"251",20685,14836
"252",19620,14978
"253",22035,14981
"254",18140,14294
"255",20140,14802
"256",18335,14845
"257",21760,14033
"258",19870,14990
"259",17415,14952
"260",16960,13383
"261",21815,14304
"262",20685,14427
"263",21635,14990
"264",20775,14474
"265",22750,14972
"266",19895,14998
"267",18790,14604
"268",19590,14994
"269",22305,14913
"270",16570,13931
"271",20550,14993
"272",14045,9766
"273",20995,15000
"274",16755,13626
"275",18035,14983
"276",22100,14844
"277",18005,14816
"278",21040,14146
"279",19045,13695
"280",20285,14990
"281",15555,13202
"282",18360,14587
"283",24085,14994
"284",21930,15000
"285",20520,14883
"286",17200,14960
"287",19100,14075
"288",16075,13171
"289",20745,14975
"290",20440,14613
"291",21490,13202
"292",23000,14662
"293",19405,14702
"294",19480,15000
"295",21250,14669
"296",18250,14892
"297",17030,14362
"298",18005,14585
"299",18200,13690
"300",21075,14993
"301",18430,14934
"302",17080,14532
"303",20980,13958
"304",20990,14796
"305",19905,13909
"306",22460,14831
"307",18000,14910
"308",19385,14965
"309",21020,14799
"310",21505,14988
"311",19600,14988
"312",21145,13142
"313",21605,14860
"314",19225,14733
"315",21960,14434
"316",16960,14109
"317",23705,14535
"318",22940,14959
"319",20170,14935
"320",17350,14011
"321",20935,14978
"322",20430,14667
"323",19530,14251
"324",24095,15000
"325",19105,14005
"326",17815,14989
"327",16380,14664
"328",20660,14577
"329",19695,14147
"330",20115,14761
"331",18590,14101
"332",19395,14417
"333",19475,13572
"334",18625,14837
"335",21305,14060
"336",21155,14879
"337",19590,14473
"338",20250,14919
"339",20960,15000
"340",17555,13719
"341",22525,14872
"342",21445,15000
"343",18215,14932
"344",23945,14994
"345",18655,14798
"346",21045,14983
"347",21390,14612
"348",13720,11813
