20360,-3316
19235,-3541
-10685,-12626
12055,-1244
12895,-6488
12790,-544
14760,-1437
-5470,-17388
9925,-4989
5865,-2456
21040,-40
15875,-2910
25890,-215
25380,-1490
4175,-2482
3545,-3600
1435,-1806
16840,-2010
28160,-68
12380,0
21575,-494
-5430,-5814
19350,0
20870,-413
23145,-190
-480,-5609
2385,-2724
7875,-2036
14440,-80
19700,-343
23965,-1999
20050,-634
24155,-2192
15025,0
20375,0
19940,-1659
15860,-5930
12715,-4442
9955,-3518
1145,-4604
28610,-712
4475,-6024
3050,-1334
19520,-910
21590,-780
16220,-4114
23920,-480
9480,-574
15835,-1074
25430,-344
22370,-1344
-4150,-15055
16885,-924
25575,-60
8495,-2200
4945,-235
-50,-6375
17760,-3083
12045,-1384
19160,-1784
10355,-1655
17880,0
17945,-4297
6835,-5339
14650,-1284
10205,-625
29000,0
245,-7065
4220,-1545
10460,-243
10820,-1479
9775,-606
29470,-502
13765,-3098
22360,-235
14045,-2362
9035,-5465
23115,-1628
18095,0
7520,-1433
13090,-2540
-3320,-5413
29060,-675
11585,0
-3365,-5979
6615,-9287
11220,-5548
26210,-423
6905,-4001
16445,-2028
14570,-692
10280,-575
6520,-205
16665,-149
15260,-354
13825,-2113
13930,-536
11695,-426
13895,-165
15820,-1974
18780,0
9805,-1207
25265,0
8470,-440
17035,-2324
18360,-1079
16050,-1112
12105,-104
21230,0
1420,-6867
7280,-433
11640,-255
8395,-1609
15875,0
-4080,-7070
16200,-2868
12310,-3434
5135,-671
24045,-179
21730,-878
5855,0
13345,-734
16810,-1526
7195,-3778
18095,-56
24420,0
21745,-1098
8725,-6304
11135,0
12125,-1157
19940,-1303
21575,-1136
28280,-440
-1480,-4588
7805,-3090
33695,-390
16355,0
8470,-1646
24170,-806
10640,-988
9930,-772
13690,-399
-3660,-5118
10870,-492
18000,-2115
3045,-1821
8795,-6671
5895,-656
27445,-487
9260,-1785
11580,-3048
14315,0
7185,-2249
21145,-1205
-5065,-9528
3360,-972
14210,-563
15905,-156
-4920,-9676
20290,0
9960,-939
15740,-4776
11580,-302
5400,-3061
13810,-79
-2405,-4679
24445,-53
10455,-433
18435,-394
-11510,-18460
20300,-419
16930,-1648
15620,-414
26535,-986
17850,-363
26070,-618
11270,-5084
8690,-133
24140,-3115
16945,-648
13825,-1381
5370,-167
19405,-1454
18515,-1563
7885,-734
10450,-1703
7145,-8252
5735,-3030
7100,-753
2235,-5228
8170,-163
-4500,-4758
15480,-1588
24900,-596
27970,0
24025,-278
14795,-5329
21600,-1053
15250,-2434
13740,0
16600,-1174
10410,-4208
6825,-3000
13415,-344
15980,-92
2985,-3628
20640,-2530
5495,-3796
12205,-460
21595,-80
9125,-514
5035,-7857
21430,0
10975,-584
10430,-2993
28535,-663
7975,-250
20250,-1426
14680,-288
26415,-1657
12920,-74
18850,-2460
8190,-1232
14025,-381
12460,-33
5155,-2213
12675,-1016
4265,-1154
23795,-597
16690,-517
26015,-129
13940,-607
30130,-145
14500,-2819
22065,-763
5695,-4185
12410,-1114
15935,-293
20005,-1712
24860,-911
21005,-496
17485,-598
21670,-1746
8560,-1271
4585,-3725
12475,-998
25365,-35
10350,-3177
23430,0
29425,0
15210,-1204
19095,-1426
3940,-6412
16660,-509
6685,-1297
17405,-1693
15565,-828
8860,-1274
15905,-681
21875,-195
33835,0
25370,-854
12830,-1519
15985,-2427
-3575,-6508
1615,-8565
27540,-524
-2405,-10605
-2180,-3969
9710,-3048
7050,-1728
22670,-695
20605,-130
13685,-432
26640,-2051
24710,-455
905,-5402
6045,-4858
16570,-3332
7275,-1511
26330,-405
22170,-1069
11610,-1146
4760,-1139
18760,-488
21790,-787
19360,-5333
6185,0
12020,-348
23570,-49
-1780,-12027
20050,-5189
11005,-2112
8595,-6295
21675,-695
19365,-1938
9850,-502
16265,-320
3360,-2001
17235,-577
11295,-973
9355,-335
12170,-155
17170,-2503
14205,-6122
11090,-1066
7295,-2625
1490,-4621
7835,-7176
5525,-879
14980,-2174
-380,-2790
19535,-660
24765,0
4760,-15537
12815,-2631
22880,-5063
12560,-2013
23760,-203
14115,-8417
17370,-983
20395,-66
30420,-180
22640,-3640
19495,-1148
20950,-274
14785,-1344
8700,-2000
21995,-2003
8110,-1507
22395,-80
21360,-558
11900,-756
16415,-2540
9645,-5
23095,-295
-11830,-16957
19665,-477
12235,-2143
21430,-472
17675,-1419
14540,-676
23830,-1530
9840,-4437
14325,-2980
11450,-2543
25425,-594
24180,-738
13640,0
21995,-938
16100,-1269
8070,-848
995,-858
15695,-698
17955,0
11070,-258
8410,-1636
5585,-384
20875,-635
15625,-2239
21360,-1633
8445,-4556
9075,-8369
15050,-3992
8410,-6350
24040,-1318
16905,-285
-11600,-16077
11450,-138
-3395,-3394
19640,-283
5400,-1155
16680,-418
20480,-370
21340,-2027
19785,-20
13180,-7408
17775,-194
21910,-1143
23250,-176
6775,-4344
9165,-3146
10215,-276
24300,-93
23380,-588
2060,-6303
11540,-980
2915,-4248
8600,-469
12995,-165
26790,-743
22400,-447
8375,-5136
-3965,-18126
32985,-305
17870,-1568
16100,-1229
21525,-2990
23595,-334
23115,-2015
22510,-713
13500,-3050
3610,-3504
17810,-384
19040,-3838
-3675,-21206
7880,-737
8170,-417
1825,-3953
10595,-1686
11080,-868
4065,-3125
20625,-3883
17890,-596
21265,-153
14270,-2209
31465,-337
9135,-4372
10025,-602
12500,-2410
17985,-2604
7250,-4214
20090,-736
8930,-180
6625,-3859
5910,-2218
5975,-4707
11170,-1693
17205,-380
18230,-1502
20870,-2853
11975,-1193
6070,-4574
20925,-2056
6980,-665
-4155,-13426
24170,-1746
4555,-126
-420,-10480
5780,-5810
14480,-4597
25780,-90
8110,-523
13430,-1937
13375,-6431
15065,-3378
7015,-2789
25770,-546
-960,-16663
