"","finalStackSize","lowestStackSize"
"1",65595,49983
"2",57260,49970
"3",63905,49975
"4",60160,50000
"5",68440,47838
"6",60535,49958
"7",57975,48799
"8",65310,49952
"9",61800,49560
"10",65175,48175
"11",61300,48917
"12",63150,49903
"13",62955,49917
"14",58320,49994
"15",64565,49216
"16",62105,50000
"17",63250,49838
"18",65875,49829
"19",59050,49988
"20",61210,49759
"21",63585,50000
"22",65015,49844
"23",59975,48239
"24",49660,45942
"25",64730,49605
"26",63590,49998
"27",62375,49572
"28",69175,49989
"29",55430,49002
"30",65750,49993
"31",65060,49685
"32",57860,48340
"33",61685,49945
"34",64415,50000
"35",63510,49805
"36",58315,49501
"37",56415,49460
"38",61910,49836
"39",64220,50000
"40",56610,49234
"41",61835,49998
"42",54655,48346
"43",65990,48138
"44",68875,49652
"45",64455,49228
"46",60750,49134
"47",64190,49876
"48",71040,49907
"49",57550,49731
"50",60795,49994
"51",65185,49998
"52",62815,50000
"53",66360,49505
"54",51700,48179
"55",66240,49337
"56",56175,49920
"57",63270,47589
"58",63180,49775
"59",59245,49967
"60",65545,50000
"61",65815,48403
"62",59445,48260
"63",65125,49686
"64",62895,49635
"65",64435,49988
"66",66770,49989
"67",65465,50000
"68",63010,48038
"69",56325,49599
"70",65970,49965
"71",57175,49530
"72",62430,49006
"73",64510,49952
"74",70750,49715
"75",68865,49965
"76",59505,49992
"77",59570,48398
"78",66505,49850
"79",64105,49915
"80",67130,49965
"81",58375,49367
"82",63560,49988
"83",63685,49983
"84",66160,49994
"85",66405,49895
"86",63015,49885
"87",63625,47459
"88",61340,49955
"89",59275,49988
"90",58420,49985
"91",68195,49983
"92",62295,49912
"93",61515,49895
"94",63515,49998
"95",61875,48230
"96",53920,40037
"97",58975,46987
"98",65960,49989
"99",61665,49983
"100",65865,49605
"101",63885,47846
"102",65520,49871
"103",61945,49412
"104",61300,49594
"105",59560,49875
"106",57815,48001
"107",70575,49989
"108",58630,49962
"109",66245,49988
"110",62865,49993
"111",56945,49585
"112",69335,49872
"113",61000,49702
"114",67920,49927
"115",64945,49998
"116",58375,49912
"117",65415,49425
"118",65580,50000
"119",61285,49501
"120",55665,47370
"121",60980,48854
"122",64250,48676
"123",61325,49915
"124",57250,48572
"125",71535,49451
"126",53310,49983
"127",63955,49998
"128",60610,48098
"129",54995,44268
"130",64010,49793
"131",71100,49462
"132",62180,49990
"133",68160,49998
"134",65260,48973
"135",52480,49456
"136",61400,49994
"137",62635,48953
"138",61755,49582
"139",67880,49895
"140",63770,49998
"141",62560,49994
"142",60310,49998
"143",66430,49098
"144",61990,49945
"145",62955,49257
"146",60850,49940
"147",57620,49797
"148",61410,49618
"149",64605,49897
"150",54885,49656
"151",59905,49697
"152",56410,49788
"153",66705,49983
"154",63615,50000
"155",66400,49822
"156",67130,49646
"157",61455,48073
"158",64880,49752
"159",65305,49950
"160",61455,49017
"161",64955,49994
"162",61265,49963
"163",60470,49646
"164",64975,49989
"165",60165,49750
"166",64430,49910
"167",63895,47430
"168",63935,49998
"169",64110,49978
"170",59480,49755
"171",60240,49247
"172",62610,49760
"173",62610,49737
"174",58550,49988
"175",57765,49960
"176",55285,49078
"177",66875,49694
"178",58190,49910
"179",64035,46924
"180",62905,49454
"181",56155,50000
"182",59855,49989
"183",66105,49895
"184",62040,49095
"185",60610,49966
"186",61565,49519
"187",58305,49426
"188",49705,48064
"189",60435,49443
"190",57755,47301
"191",54330,49682
"192",62175,49998
"193",62190,50000
"194",62635,49998
"195",65755,49987
"196",63960,49940
"197",62910,49990
"198",52425,42411
"199",61125,49827
"200",65105,48706
"201",46855,44053
"202",66185,49989
"203",64430,49794
"204",62885,49880
"205",63270,49773
"206",60935,49869
"207",61720,48202
"208",65805,49890
"209",60015,47383
"210",58130,49993
"211",61810,49601
"212",64600,49998
"213",56900,49143
"214",61675,49985
"215",67820,49059
"216",68115,49887
"217",59090,49905
"218",60560,49462
"219",64830,48214
"220",56240,49989
"221",66935,49884
"222",59620,49625
"223",61785,49983
"224",65615,49998
"225",72175,49900
"226",65075,49413
"227",49625,46121
"228",60090,47902
"229",66620,47350
"230",60695,48388
"231",60420,47051
"232",63105,49998
"233",59415,47675
"234",67510,49948
"235",61960,46092
"236",62270,49287
"237",57895,49988
"238",71030,50000
"239",60845,49184
"240",55370,49072
"241",63860,49424
"242",56680,48626
"243",64375,49096
"244",57010,45996
"245",62165,49988
"246",62490,46974
"247",56985,48540
"248",58160,49983
"249",65640,49630
"250",54135,47571
"251",70280,49989
"252",58950,49472
"253",60750,49498
"254",57630,47305
"255",60655,48265
"256",61195,49885
"257",65820,49970
"258",64720,49972
"259",56155,48228
"260",55470,49589
"261",59670,47352
"262",59090,49256
"263",53070,40364
"264",60660,49545
"265",71925,49989
"266",55765,49783
"267",59460,49603
"268",64730,49473
"269",68870,49579
"270",58450,49989
"271",62180,49915
"272",41190,41027
"273",63400,49989
"274",55900,47934
"275",61960,49993
"276",64875,50000
"277",57850,48970
"278",61020,49905
"279",50505,48562
"280",67555,50000
"281",63410,49989
"282",60385,49566
"283",61735,49251
"284",62320,49629
"285",62835,49998
"286",58210,48097
"287",57035,49418
"288",65650,49579
"289",62100,47120
"290",64615,49650
"291",58425,47455
"292",67050,49940
"293",59515,48125
"294",58590,47741
"295",62115,48680
"296",63865,49449
"297",61705,49795
"298",60745,49955
"299",53000,48765
"300",58525,49988
"301",60345,49875
"302",59015,49983
"303",52890,45986
"304",65105,49989
"305",59175,47767
"306",62875,48594
"307",58200,49930
"308",65520,49889
"309",58890,49001
"310",59685,46137
"311",62805,49741
"312",66895,49522
"313",61775,49970
"314",58075,48410
"315",59365,49231
"316",66880,49994
"317",65300,49403
"318",54785,45849
"319",65215,49900
"320",66250,49330
"321",60790,50000
"322",68350,49994
"323",65695,49530
"324",53980,49672
"325",68265,49983
"326",64870,48179
"327",67930,49585
"328",65685,49057
"329",54235,49125
"330",64700,49635
"331",64385,49905
"332",70320,49834
"333",58420,48150
"334",68220,49998
"335",57535,49257
"336",63055,48089
"337",60850,49872
"338",66715,49014
"339",62710,49780
"340",64440,49008
"341",60545,49462
"342",60215,50000
"343",64095,49989
"344",70170,49840
"345",67375,49845
"346",61190,49262
"347",56660,49139
"348",56395,49920
"349",62695,47504
"350",55735,48409
"351",64130,49975
"352",58760,48927
"353",59225,49962
"354",60390,50000
"355",69245,49989
"356",63355,50000
"357",63610,50000
"358",66720,49989
"359",62785,49551
